,descricao,objeto
234,"Redação Final assinada pelo Relator, Dep. Diego Garcia (Republicanos-PR).",Redação Final
235,"Emenda do Senado Federal ao Projeto de Lei nº 400, de 2019.",Emenda
236,"Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).",Redação Final
237,"Projeto de Decreto Legislativo nº 233, de 2021",Projeto de Decreto Legislativo
238,Requerimento de Urgência (Art. 155 do RICD),Requerimento
239,"Proposta de Emenda à Constituição n° 517, de 2010, ressalvado os destaques",Emenda
240,Redação Final assinada pelo Relator.,Redação Final
241,"Proposta de Emenda à Constituição nº 22, de 2011",Emenda
242,"Requerimento nº 390/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 22, de 2011.",Requerimento
243,"Requerimento nº 390/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 22, de 2011.",Requerimento
244,"Proposta de Emenda à Constituição n° 22, de 2011",Emenda
245,ferência,Outros
246,"querimento n. 319/2022 do Sr. André Fufuca que requer urgência para o Projeto de Lei nº 545/2022, que ""Dispõe sobre a arrecadação de recursos por entidades beneficentes de assistência social por meio de títulos de capitalização"".",Requerimento
247,Requerimento de urgência,Requerimento
